scorer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer
bodyparts,nose,nose,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,front_left_paw,front_left_paw,front_right_paw,front_right_paw,back_left_paw,back_left_paw,back_right_paw,back_right_paw
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\rat4-control2\frame1366.png,,,542.1744644101693,464.9234235326202,,,516.1097997030392,531.714126844641,,,,,,,,,,
labeled-data\rat4-control2\frame1530.png,706.707660373928,370.43901396927356,742.5465743462319,323.19680918760025,675.755871034211,321.56776764340464,727.8852004484712,346.0033908063391,682.2720372109935,344.3743492621435,,,,,,,,
labeled-data\rat4-control2\frame1547.png,674.1268294900154,359.03572315990414,703.4495772855367,323.19680918760025,641.5459986061028,326.4548922759916,692.0462864761673,342.74530771794787,651.3202478712766,347.6324323505347,,,,,,,,
labeled-data\rat4-control2\frame2035.png,584.5295445592558,499.1332959607284,626.8846247083421,437.2297172812945,579.6424199266688,445.37492500227256,608.9651677221901,471.4395897094027,576.3843368382776,474.6976727977939,,,,,,,,
labeled-data\rat4-control2\frame2118.png,511.2226750704524,471.4395897094027,594.3037938244295,435.60067573709875,,,555.2067967637344,455.14917426744637,,,579.6424199266688,528.4560437562498,,,,,,
labeled-data\rat4-control2\frame2120.png,507.96459198206105,471.4395897094027,597.5618769128208,427.4554680161207,,,551.9487136753431,453.52013272325075,,,591.0457107360382,530.0850853004454,,,,,,
labeled-data\rat4-control2\frame2135.png,507.96459198206105,468.1815066210114,591.0457107360382,430.7135511045119,,,550.3196721311475,451.89109117905514,,,576.3843368382776,528.4560437562498,,,,,,
labeled-data\rat4-control2\frame2159.png,594.3037938244295,526.8270022120541,638.2879155177116,447.0039665464682,591.0457107360382,455.14917426744637,618.7394169873639,494.2461713281415,586.1585861034514,492.61712978394587,,,,,,,,
labeled-data\rat4-control2\frame2166.png,608.9651677221901,533.3431683888366,643.1750401502984,451.89109117905514,594.3037938244295,450.2620496348595,,,594.3037938244295,495.87521287233716,,,,,,,,
labeled-data\rat4-control2\frame2209.png,522.6259658798218,461.6653404442289,608.9651677221901,427.4554680161207,,,569.868170661495,445.37492500227256,,,602.4490015454077,521.9398775794673,,,,,,
